"state","College"
"Alabama",26.2
"Alaska",30
"Arizona",30.3
"Arkansas",23.8
"California",34.7
"Colorado",41.6
"Connecticut",40
"Delaware",32.7
"District of Columbia",59.8
"Florida",30.5
"Georgia",32.2
"Hawaii",33.6
"Idaho",28.7
"Illinois",35.5
"Indiana",27.2
"Iowa",29.3
"Kansas",33.9
"Kentucky",25
"Louisiana",24.9
"Maine",32.5
"Maryland",40.9
"Massachusetts",44.5
"Michigan",30
"Minnesota",36.8
"Mississippi",22.8
"Missouri",29.9
"Montana",33.1
"Nebraska",32.5
"Nevada",25.5
"New Hampshire",37.6
"New Jersey",40.7
"New Mexico",28.1
"New York",37.5
"North Carolina",32
"North Dakota",30.7
"Ohio",28.9
"Oklahoma",26.1
"Oregon",34.4
"Pennsylvania",32.3
"Rhode Island",35
"South Carolina",29
"South Dakota",29.3
"Tennessee",28.2
"Texas",30.7
"Utah",34.7
"Vermont",39.7
"Virginia",39.5
"Washington",36.7
"West Virginia",21.3
"Wisconsin",30.8
"Wyoming",28.2
"United States",32.849886372016314