"state","EmploymentRateMarch2023"
"Alabama",97.7
"Alaska",96.3
"Arizona",96.5
"Arkansas",97
"California",95.6
"Colorado",97.2
"Connecticut",96
"Delaware",95.6
"District of Columbia",95.2
"Florida",97.4
"Georgia",96.9
"Hawaii",96.5
"Idaho",97.4
"Illinois",95.6
"Indiana",96.9
"Iowa",97.2
"Kansas",97.1
"Kentucky",96.2
"Louisiana",96.4
"Maine",97.4
"Maryland",97.3
"Massachusetts",96.5
"Michigan",95.9
"Minnesota",97.2
"Mississippi",96.5
"Missouri",97.5
"Montana",97.7
"Nebraska",97.9
"Nevada",94.5
"New Hampshire",97.6
"New Jersey",96.5
"New Mexico",96.5
"New York",95.9
"North Carolina",96.5
"North Dakota",97.9
"Ohio",96.2
"Oklahoma",97
"Oregon",95.6
"Pennsylvania",95.8
"Rhode Island",96.9
"South Carolina",96.8
"South Dakota",98.1
"Tennessee",96.6
"Texas",96
"Utah",97.6
"Vermont",97.3
"Virginia",96.8
"Washington",95.5
"West Virginia",96.6
"Wisconsin",97.5
"Wyoming",96.3