"state","deathRatePer100k2021","GunViolenceTotalDeaths2021","GunViolencePermitForFirearmOwnership","GunViolenceTotalDeaths2020","deathRatePer100k"
"Alabama",25.56857014139322,1315,,1141,22.185352495307733
"Alaska",24.811324870217685,182,,175,23.85704314444008
"Arizona",18.207273198733787,1365,,1265,16.87340703032838
"Arkansas",22.595870588463804,698,,673,21.786562902630575
"California",9.195220234010126,3576,"Required",3449,8.868656204446568
"Colorado",17.990656694477224,1064,,922,15.589648000289474
"Connecticut",6.8401603465975445,248,"Required",219,6.040302886713154
"Delaware",15.129447746430456,158,,135,12.927059783342479
"Florida",13.675180344161026,3142,,3041,13.23558988752186
"Georgia",19.739255205600493,2200,,1897,17.020621420465517
"Hawaii",4.961991841367217,71,"Required",50,3.494360451667055
"Idaho",15.524080914122191,309,,321,16.126957842825966
"Illinois",15.938498328215303,1995,"Required",1745,13.941192773301106
"Indiana",18.151153403508122,1251,,1159,16.81629639861384
"Iowa",11.3243412671129,364,,351,10.919900507573153
"Kansas",17.08341597676384,503,,494,16.777748494078203
"Kentucky",20.855608495962667,947,,902,19.864581693092212
"Louisiana",28.819107463030285,1314,,1183,25.945969656594237
"Maine",12.695188523549575,178,,153,10.91215642754542
"Maryland",14.766340811987364,915,"Required",803,12.958876144290551
"Massachusetts",3.5184894483777773,247,"Required",268,3.8176322759726484
"Michigan",15.376585424052664,1544,"Required",1454,14.480281869541823
"Minnesota",9.945274953007274,573,,513,8.903884905571957
"Mississippi",32.71605861955917,962,,818,27.818852339708318
"Missouri",22.750880751918217,1414,,1426,22.943957533405502
"Montana",24.502382856732815,280,,238,20.827025428222893
"Nebraska",10.056831152844726,200,"Required",197,9.905978685552055
"Nevada",19.71390852061287,633,,547,17.035557599960885
"New Hampshire",8.75379420043342,123,,128,9.109639493133965
"New Jersey",5.0960935492575,475,"Required",443,4.75277777330752
"New Mexico",27.325168560360733,578,,479,22.644906125281643
"New York",5.536941570165685,1078,"Required",1052,5.403397524874119
"North Carolina",16.75623828190881,1839,"Required",1699,15.480613834128912
"North Dakota",16.22430096078282,128,,100,12.675235125611579
"Ohio",16.178225632150834,1911,,1764,14.93374673737
"Oklahoma",20.44821209002986,836,,826,20.203616251632372
"Oregon",15.849221389257586,670,"Required",592,14.004088152896255
"Pennsylvania",14.708976529337846,1905,,1752,13.52762565847764
"Rhode Island",5.828344331297663,64,"Required",54,4.917665529532403
"South Carolina",20.790039814024308,1136,,1131,20.698534357096385
"South Dakota",13.781712743885173,128,,120,12.920355697392349
"Tennessee",21.7795608607549,1569,,1473,20.446968226827256
"Texas",14.89181209884031,4613,,4164,13.442338083583579
"Utah",13.02749786349035,450,,429,12.419547963194132
"Vermont",12.81224047494821,83,,76,11.731690073446554
"Virginia",14.259113921751055,1248,,1174,13.413621589852356
"Washington",11.426701472195303,896,"Required",864,11.018604991045471
"West Virginia",18.062325782073227,319,,325,18.402056047566766
"Wisconsin",13.36959928461685,793,,717,12.088275771841467
"Wyoming",26.428638413599664,155,,154,26.258131068995798
"United States",14.483222542114513,,,,13.414361016239479